FONTE,TIPO,ID_LATTES,NOME,TITULO,EVENTO/JOURNAL/LIVRO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Resíduos farmacêuticos: reflexões acerca dos impactos ambientais e modelos de gerenciamento,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['LAZZARETTI, C.', 'Vania Elisabete Schneider', 'VIECELI, N. C.', 'CATHARINA, R. F. S.', 'BACARIM, G.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Gerenciamento de resíduos eletroeletrônicos em estabelecimentos de assistência à saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Panizzon, T.', 'REICHERT, Geraldo Antônio', 'Vania Elisabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Metodologias de otimização de roteiros de veículos coletores de resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['GRACIOLI, Odacir Deonísio', 'BIGOLIN, M', 'Vania Elisabete Schneider', 'CEMIN, Gisele']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Responsabilidades no gerenciamento de resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['STEDILE, N. L. R.', 'Vania Elisabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Impactos ambientais e resíduos decorrentes de sepultamento,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Tonet, E. M.', 'Vania Elisabete Schneider', 'LOVIZON, S.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Saúde e meio ambiente: uma relação interdependente,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['FINKLER, Raquel', 'STEDILE, N. L. R.', 'Vania Elisabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Aproveitamento da água de chuva em estabelecimentos de assistência à saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['MENDES, L. A.', 'GOMES, L. F.', 'GIMENEZ, J. R.', 'Bortolin, T. A.', 'BEAL, Lademir Luiz', 'Vania Elisabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Formação de multiplicadores ambientais - A experiência no Município de Antônio Prado com o projeto,"Cidadania, meio ambiente e sustentabilidade",2017,Bretão,EDUCS,"['SCHNEIDER, V. E.', 'Carra. S. H. Z.', 'CASAGRANDE, V.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Cap. 8 - Dimensão Ambiental,Plano de Desenvolvimento Estratégico 2015-20130 - Corede Campos de Cima da Serra,2017,Bretão,EDUCS,"['SCHNEIDER, V. E.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Cap. 4 - Dimensão Ambiental,Plano Estratégico de Desenvolvimento Regional 2015-2030 - Corede Serra,2017,Bretão,EDUCS,"['SCHNEIDER, V. E.']"
