FONTE,TIPO,ID_LATTES,NOME,TITULO,EVENTO/JOURNAL/LIVRO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Processos comunicacionais na implantação dos programas de qualidade e de certificações,"Comunicação organizacional: histórico, fundamentos e processos",2009,Português,Saraiva,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Comunicação e cultura organizacional: a complexidade dos diálogos (in)visíveis,Faces da Cultura e da Comunicação Organizacional,2010,Português,Difusão Editora,"['Alexandre de Pádua Carrieri', 'Maria Virginia Borges Amaral', 'Marialva Carlos Barbosa', 'Marlene Marchiori', 'Massimo Di Felice', 'Miguel Contani', 'Paulo Nassar', 'Regiane Regina Ribeiro', 'Roseli Fígaro', 'BALDISSERA, R.', 'Sergio Alves', 'Alfredo Rodrigues Leite da Silva', 'Sergio Bulgacov', 'Suzana Braga Rodrigues', 'Vera França', 'Valério Cruz Brittos', 'SCROFERNEKER, Cleusa Maria Andrade', 'Fábia Pereira Lima', 'Helenice Carvalho', 'Ivone de Lourdes Oliveira', 'Jean-Charles Jacques Zozzoli', 'IASBECK, Luis Carlos Assis', 'Lúcia Santaella']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Perspectivas Contemporâneas da Comunicação Organizacional,"Práticas Acadêmicas em Relações Públicas: processos, pesquisas e aplicações.",2011,Português,Sulina,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,COMUNICACIÓN Y CULTURA ORGANIZACIONAL: RECORRIDOS RECURSIVOS,La complejidad de lo social: la trama de la vida,2013,Espanhol,Biblioteca Nueva,"['SCROFERNEKER, Cleusa Maria Andrade', 'BALDISSERA, R.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,A produção intelectual em Comunicação Organizacional,consolidação da Comunicação Organizacional e das Relações Públicas no Brasil.,2013,Português,Intercom,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,SEM_DADOS,Cultura e Interação,2014,Português,Difusão Editora/SENAC,"['Alexandre de Pádua Carrieri', 'Alfredo Rodrigues Leite da Silva', 'FIDALGO, A.', 'SCROFERNEKER, Cleusa Maria Andrade', 'GONCALVES, G.', 'ROSSETTI, G. R.', 'Roseli Fígaro', 'BALDISSERA, R.', 'EMEDIATO, W.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Planejamento de relações públicas na comunicação integrada,Fortuna Crítica da Intercom ? Baluartes,2014,Português,Intercom,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,COMUNICAÇÃO PÚBLICA E COMUNICAÇÃO ORGANIZACIONAL: QUANDO O INTERESSE PÚBLICO PREVALECE,(RE) LEITURAS CONTEMPORÂNEAS SOBRE COMUNICAÇÃO ORGANIZACIONAL E RELAÇÕES PÚBLICAS,2017,Português,EDIPUCRS,"['SCROFERNEKER, Cleusa Maria Andrade', 'SILVESTRIN, C. B.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Método e Metodologia: as imprecisões conceituais em Teses de Doutorado,Comunicação e Poder Organizacional,2018,Português,CEGRAF Universidade Federal de Goiás,"['SCROFERNEKER, Cleusa Maria Andrade', 'GOMES, L. B.', 'FALAVIGNA, F.', 'MOARES, F. L.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Direitos humanos em contexto: assédio moral e assédio moral organizacional em debate,Comunicação e Direitos Humanos,2019,Português,PPGCOM UFMG,"['SCROFERNEKER, Cleusa Maria Andrade', 'GOMES, L. B.', 'MOARES, F. L.']"
