139	\N	\N	\N	\N	\N	\N	2018 Symposium on High Performance Computing Systems (WSCAD)	2	2018
140	\N	\N	\N	\N	\N	\N	2018 Symposium on High Performance Computing Systems (WSCAD)	2	2018
141	\N	\N	\N	\N	\N	\N	2019 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)	2	2019
142	\N	\N	\N	\N	\N	\N	2019 Conference Proceedings	2	2019
143	\N	\N	\N	\N	\N	\N	2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science (IRI)	2	2019
144	\N	\N	\N	\N	\N	\N	2019 IEEE 28th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)	2	2019
145	\N	\N	\N	\N	\N	\N	2019 IEEE 28th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)	2	2019
146	\N	\N	\N	\N	\N	\N	2019 IEEE 31st International Conference on Tools with Artificial Intelligence (ICTAI)	2	2019
147	\N	\N	\N	\N	\N	\N	2019 IEEE 32nd International Symposium on Computer-Based Medical Systems (CBMS)	2	2019
148	\N	\N	\N	\N	\N	\N	2019 IEEE Global Communications Conference (GLOBECOM)	2	2019
149	\N	\N	\N	\N	\N	\N	2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)	2	2019
150	\N	\N	\N	\N	\N	\N	2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)	2	2019
151	\N	\N	\N	\N	\N	\N	2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)	2	2019
152	\N	\N	\N	\N	\N	\N	2019 IEEE Symposium on Computers and Communications (ISCC)	2	2019
153	\N	\N	\N	\N	\N	\N	2019 IEEE/ACS 16th International Conference on Computer Systems and Applications (AICCSA)	2	2019
154	\N	\N	\N	\N	\N	\N	2019: Anais do XLVI Seminário Integrado de Software e Hardware	2	2019
155	\N	\N	\N	\N	\N	\N	20ª Workshop de Informática na Escola (WIE 2014)	2	2014
156	\N	\N	\N	\N	\N	\N	20o Congresso Brasileiro de Automática	2	2014
157	\N	\N	\N	\N	\N	\N	20o Simpósio Brasileiro de Banco de Dados	2	2005
158	\N	\N	\N	\N	\N	\N	20th IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)	2	2011
159	\N	\N	\N	\N	\N	\N	20th International Congress of Mechanical Engineering	2	2009
160	\N	\N	\N	\N	\N	\N	21st European Conference on Information Systems	2	2013
161	\N	\N	\N	\N	\N	\N	21st IEEE Symposium on Computers and Communications	2	2016
162	\N	\N	\N	\N	\N	\N	21st International Conference on Software Engineering &amp; Knowledge Engineering	2	2009
163	\N	\N	\N	\N	\N	\N	22 Simpósio Brasileiro de Informática na Educação	2	2011
164	\N	\N	\N	\N	\N	\N	22nd International Conference on Database and Expert Systems Applications (DEXA'11)	2	2011
165	\N	\N	\N	\N	\N	\N	22o Congresso Brasileiro de Engenharia Sanitária e Ambiental - Resumo dos trabalhos técnicos	2	2003
166	\N	\N	\N	\N	\N	\N	22o Congresso Brasileiro de Engenharia Sanitária e Ambiental - Resumo dos Trabalhos Técnicos	2	2003
167	\N	\N	\N	\N	\N	\N	22o Congresso Brasileiro de Engenharia Sanitária e Ambiental - Resumo dos Trabalhos Técnicos	2	2003
168	\N	\N	\N	\N	\N	\N	22o Congresso Brasileiro de Engenharia Sanitária e Ambiental - Resumo dos Trabalhos Técnicos	2	2003
169	\N	\N	\N	\N	\N	\N	22o Congresso Brasileiro de Engenharia Sanitária e Ambiental. CD Rom	2	2003
170	\N	\N	\N	\N	\N	\N	22o Congresso Brasileiro de Engenharia Sanitária e Ambiental. CD Rom	2	2003
171	\N	\N	\N	\N	\N	\N	22o Congresso Brasileiro de Engenharia Sanitária e Ambiental. CD Rom	2	2003
172	\N	\N	\N	\N	\N	\N	22o Congresso Brasileiro de Engenharia Sanitária e Ambiental. CD Rom	2	2003
173	\N	\N	\N	\N	\N	\N	22º Workshop de Informática na Escola (WIE 2016)	2	2016
174	\N	\N	\N	\N	\N	\N	23ª Jornada Acadêmica Integrada	2	2008
