id,titulo,tipo_id,edicao_id,fonte
1019,Um Estudo e Proposta de Abordagem a respeito de Extração Semi-Automática de Restrições de Integridade Semântica de Dados XML,,1805,LATTES
1018,Um Framework para Suporte à Preparação e Comparação de Similaridade de Documentos XML,,1806,LATTES
1021,Um Sistema de Extração e Publicação de Informações Georreferenciadas em um Domínio Turístico,,1807,LATTES
1020,Uma Ferramenta de Apoio à Determinação de Equivalências Semânticas entre Esquemas GML,,1808,LATTES
1069,Ferramenta para Visualização de Informações Temporais para Banco de Dados Mestre/Detalhe,,1809,LATTES
1088,Uma arquitetura para recuperação de informação baseada em semântica e sua aplicação no apoio a jurisprudência,,1810,LATTES
1164,Sistema BInXS: Gerador de Esquema Conceitual Global,,1811,LATTES
1167,Um Tradutor de Esquemas Relacionais em XML para Esquemas SQL,,1812,LATTES
1165,Uma Ferramenta de Apoio à Normalização de Tabelas Relacionais baseada na Análise de Dados,,1813,LATTES
1166,Uma Ferramenta para Conversão de Esquemas Conceituais EER para Esquemas Lógicos XML,,1814,LATTES
2377,Análise de Abordagens para Recuperaçãao de Informação em Tabelas na Web,,1815,LATTES
2495,Um Estudo das Abordagens para Extração de Esquemas XML,,1816,LATTES
2646,Análise de Abordagens para Interoperabilidade entre Bancos de Dados Relacionais e Bancos de Dados NoSQL,,1817,LATTES
2647,Um Estudo sobre Modelagem Lógica para Bancos de Dados NoSQL,,1818,LATTES
3235,Consulta de dados espaciais em um sistema de informações de uma bacia hidrográfica,,1819,LATTES
2939,Evolving negative application conditions.,,1820,LATTES
1685,Uma Ferramenta para Geração de Esquemas Sintéticos de Bancos de Dados para Simulações P2P,,1821,LATTES
1799,Um Panorama do Uso do Tempo em Motores de Busca Web.,,1822,LATTES
3003,Avaliação de Desempenho de Sistemas Relacionais para Armazenamento de dados RDF,,1823,LATTES
1387,Estudo Comparativo dos BDXML eXist e Xindice,,1824,LATTES
1592,Mapeamento Automático de Modelos de Dados XML Temporais Ad-hoc para um Modelo de Dados XML Temporal Padrão,,1825,LATTES
2727,ntSQL: Um Conversor de Documentos RDF para SQL,,1826,LATTES
3153,Redblock: Uma ferramenta para a deduplicacão de grandes bases de dados em tempo real,,1827,LATTES
988,SEM_DADOS,,1828,LATTES
2471,Um Estudo sobre Bancos de Dados em Grafos Nativos,,1829,LATTES
1008,Um framework para suporte à preparação e comparação de similaridade de documentos XML,,1830,LATTES
1682,Um Modelo de Grupos para MANETs,,1831,LATTES
1791,Uma Ferramenta Para Análise Quantitativa da Produção Científica de Pesquisadores,,1832,LATTES
2067,Uma Proposta de Entity Ranking Baseada no Uso de Entidades como Objetos de Consulta,,1833,LATTES
2389,Uso de Expressões Temporais em Busca na Web: Uma análise através das sugestões de consulta,,1834,LATTES
1798,Aplicando tuning no PostgreSQL,,1835,LATTES
3156,Desenvolvimento de um Objeto de Aprendizagem baseado em Mobile Learning e sistemas de recomendaçõ es para o auxílio ao processo de letramento infantil na educação básica,,1836,LATTES
3577,Escola Regional de Banco de Dados (ERBD),,1837,LATTES
1575,Interagindo com Data Warehouses Espaciais através de Descrições Semânticas,,1838,LATTES
1581,Interagindo com Data Warehouses Espaciais através de Descrições Semânticas,,1839,LATTES
829,Determinando equivalências semânticas entre componentes de Esquemas GML,,1840,LATTES
3021,Qualis SR: Um Sistema Híbrido de Recomendação de Tratamento para Infecções,,1841,LATTES
3020,Representação e utilização de registros médicos de maneira estruturada,,1842,LATTES
1437,"Virtualização - Conceitos, Aplicações, Mercado e Prática",,1843,LATTES
1747,Análise Comparativa entre Soluções Livres para Construção de Sistemas de Arquivos Distribuídos,,1844,LATTES
2262,DLNotes2: Ferramenta de Anotações Estruturadas e Semânticas voltada ao Ensino de Literatura,,1845,LATTES
3816,Estimativa da descarga sólida de um trecho de rio usando o software HEC-RAS,,1846,LATTES
3531,Estimativa das perdas de solo para condição da parcela de Wischmeier,,1847,LATTES
3812,Estimativa de Geração de Resíduos do Setor Florestal no Rio Grande do Sul e Cálculo da Potencial Produção de Energia,,1848,LATTES
3824,Estratégias de ação para recuperação de um corpo hídrico localizado no município de Caxias do Sul/RS,,1849,LATTES
3851,Estudando o impacto da gamificação na aprendizagem e engajamento de alunos de acordo com os traços de personalidade e a orientação motivacional,,1850,LATTES
3827,"Estudo pluviométrico de uma sub-bacia pertencente a bacia hidrográfica dos rios turvo-santa rosa-santo cristo, RS/BR",,1851,LATTES
3978,AVALIAÇÃO DA RELAÇÃO ENTRE O USO E OCUPAÇÃO DO SOLO E A QUALIDADE DA ÁGUA DE UMA BACIA HIDROGRÁFICA EXPERIMENTAL ATRAVÉS DO ÍNDICE DE QUALIDADE DA ÁGUA (IQA) E DO ÍNDICE DE ESTADO TRÓFICO (IET),,1852,LATTES
3391,Desenvolvimento e avaliação de um modelo de simulação computacional para reaproveitamento de banners de lona,,1853,LATTES
3120,Proposta de utilização do biodiesel em tratores de uma instituição de ensino superior: uma simulação computacional,,1854,LATTES
3663,Uso da modelagem computacional para comparativo entre adição de diferentes percentuais de biodiesel no transporte de resíduos sólidos urbanos,,1855,LATTES
1304,An integer linear programming approach for approximate string comparison,,1856,LATTES
2852,Um modelo de dinâmica de sistemas para avaliação do reaproveitamento de resíduos eletrônicos na remanufatura de computadores em uma instituição de ensino superior,,1857,LATTES
2434,Analysis of healthcare waste heterogeneity in a university hospital and outpatient clinic,,1858,LATTES
2437,Characterization of municipal solid waste: preliminary assessement of regular and selective collections in a municipality of southern Brazil,,1859,LATTES
2438,"Reverse logistics model of pharmaceutical waste and residential health facilities of the city of Caxias do Sul, Rio Grande do Sul - Brazil",,1860,LATTES
2440,Use of formaldehyde xylenes and glutaraldehyde in health care instituitions,,1861,LATTES
3670,A text summarization method based on fuzzy rules and applicable to automated assessment,,1862,LATTES
621,PetroGrapher: managing petrographic data and Knowledge using an intelligent database application,,1863,LATTES
3548,Exploração do uso de bases de conhecimento e processamento de linguagem natural em um simulador de casos clínicos,,1864,LATTES
2784,Explorando as possibilidades de integração entre Sistemas de Informação Geográfica e Sistemas de Recomendação,,1865,LATTES
3103,Collaborative Learning on Decentralized Ubiquitous Environments,,1866,LATTES
1977,Extração de informação semântica baseada em processamento de linguagem natural e ontologias,,1867,LATTES
1609,Comunicação e cultura organizacional: a complexidade dos diálogos (in)visíveis,,1868,LATTES
3452,Arduino ferramenta de ensino na matemática:Uma atividade de extensão,,1869,LATTES
1767,A Investigação Apreciativa como Estratégia de Comunicação.,,1870,LATTES
2035,SuperIDR: A Tool for Fish Identification and Information Retrieval.,,1871,LATTES
2545,Planejamento de relações públicas na comunicação integrada,,1872,LATTES
1347,A Rule-based Conversion of an Object-Oriented Database Schema to a Schema in XML Schema,,1873,LATTES
1962,Estimate of the potential of biomass and energy generation by major agricultural crops of Brazil,,1874,LATTES
3828,SISTEMAS DE TRATAMENTO SIMPLIFICADO DE EFLUENTES EM INSTALAÇÃO DE CAMPO,,1875,LATTES
1652,Framework para Desenvolvimento de Jogos Inteligentes.,,1876,LATTES
1855,FSG-ANNBack: Proposal of an Environment to Insert Artificial Neural Networks to Game Development Using Software Reuse.,,1877,LATTES
3110,A hybrid evolutionary algorithm for task scheduling and data assignment of data-intensive scientific workflows on clouds,,1878,LATTES
3648,A Provenance-based heuristic for preserving results confidentiality in cloud-based scientific workflows,,1879,LATTES
3908,Adding domain data to code profiling tools to debug workflow parallel execution,,1880,LATTES
3673,BIGSEA: A Big Data analytics platform for public transportation information,,1881,LATTES
3677,BIGSEA: A Big Data analytics platform for public transportation information,,1882,LATTES
3905,BioinfoPortal: A scientific gateway for integrating bioinformatics applications on the Brazilian national high-performance computing network,,1883,LATTES
3909,Capturing and Analyzing Provenance from Spark-based Scientific Workflows with SAMbA-RaP,,1884,LATTES
3105,Deriving scientific workflows from algebraic experiment lines: A practical approach,,1885,LATTES
2017,Designing a parallel cloud based comparative genomics workflow to improve phylogenetic analyses,,1886,LATTES
2549,Dynamic steering of HPC scientific workflows: A survey,,1887,LATTES
2830,Multi-objective scheduling of Scientific Workflows in multisite clouds,,1888,LATTES
2548,Optimizing virtual machine allocation for parallel scientific workflows in federated clouds,,1889,LATTES
2016,Performance evaluation of parallel strategies in public clouds: A study with phylogenomic workflows,,1890,LATTES
3106,Raw data queries during data-intensive parallel workflow execution,,1891,LATTES
3938,Security and trust in cloud application life-cycle management,,1892,LATTES
3119,ANÁLISE DE CENÁRIOS ENVOLVENDO SATISFAÇÃO NO TRABALHO E ESTRESSE OCUPACIONAL ATRAVÉS DA DINÂMICA DE SISTEMAS,,1893,LATTES
3910,Generalized $C_{F_1F_2}$-integrals: from Choquet-like aggregation to ordered directionally monotone functions,,1894,LATTES
1298,Rede de Catadores e Centrais de Triagem do Município de Caxias do Sul,,1895,LATTES
1817,UMA ABORDAGEM DIFERENCIADA NO ENSINO DE ALGORITMOS ATRAVÉS DA UTILIZAÇÃO DE UMA LOUSA DIGITAL,,1896,LATTES
735,An Integrated Model for Cellular Analysis,,1897,LATTES
812,Building Multiple Sequence Alignments with a flavor of HSSP alignments,,1898,LATTES
827,Exploring molecular networks using MONET Ontology,,1899,LATTES
813,PDB-Metrics: A Web Tool for Exploring the PDB Contents,,1900,LATTES
2540,NoSQL Geographic Databases: An Overview,,1901,LATTES
2521,Analysis of Spatiotemporal Inconsistencies of Trajectories with Planned and Reported Tasks,,1902,LATTES
2522,Annotating Trajectories by Fusing them with Social Media Users? Posts,,1903,LATTES
608,Aplicando Ontologias de Objetos Geográficos para Facilitar Navegação em GIS,,1904,LATTES
3941,JS4Geo: a canonical JSON Schema for geographic data suitable to NoSQL databases,,1905,LATTES
3301,A Method for Identifying Patterns of Movement of Trajectory Sets by Using the Frequency Distribution of Points,,1906,LATTES
3659,"A computational model for analysis of biodiesel production, derived from cooking oil, and use in collection of garbage",,1907,LATTES
400,Análise da eficiência do processo via esterilização por vapor úmido e alto vácuo associado a microondas em um estabelecimento hospitalar,,1908,LATTES
959,Métodos de transformação e aproveitamento da fração orgânica: Minimização da quantidade de resíduos dispostos em aterro,,1909,LATTES
1124,ACTIVERULESDBX - UMA FERRAMENTA PARA EXECUÇÃO DE REGRAS A PARTIR DA DETECÇÃO DE EVENTOS TEMPORAIS,,1910,LATTES
1303,ACTIVERULESDBX - UMA FERRAMENTA PARA EXECUÇÃO DE REGRAS A PARTIR DA DETECÇÃO DE EVENTOS TEMPORAIS,,1911,LATTES
1616,AVALIAÇÃO DO USO DA TECNOLOGIA DE INFORMAÇÃO DE PONTOS DE VENDA (PDVS) NO AUXÍLIO DO AUTOCONTROLE DE PRODUTIVIDADE,,1912,LATTES
1118,Proposta de um Modelo Espaço- Temporal Utilizando SGBD Open-Source,,1913,LATTES
1617,"REFLEXÕES SOBRE MARCA, ATIVOS E BRAND EQUITY",,1914,LATTES
