id,ano,cidade,uf,data_inicio,data_fim,local,tema,veiculo,id_tipo_veiculo
1953,2012,,,,,,,I Seminário Nacional de Inclusão Digital,2
1954,2012,,,,,,,I Seminário Nacional de Inclusão Digital,2
1955,2014,,,,,,,I Simpósio da Tecnologia da Informação do IFSUL Passo Fundo,2
1956,2008,,,,,,,I Workshop de Gerenciamento de Projetos de Software,2
1957,2002,,,,,,,"I Workshop de teses e dissertações em banco de dados, I WTDBD 2002",2
1958,2005,,,,,,,I Workshop em Bibliotecas Digitais,2
1959,2011,,,,,,,IADIS International Conference WWW/Internet,2
1960,2011,,,,,,,IADIS International Conference WWW/INTERNET (ICWI),2
1961,2016,,,,,,,IADIS International Journal on WWWInternet,1
1962,2016,,,,,,,IADIS International Journal on WWWInternet,1
1963,2016,,,,,,,IADIS International Journal on WWWInternet,1
1964,2012,,,,,,,IADIS WWW/Internet,2
1965,2011,,,,,,,IADIS WWW/Internet,2
1966,2011,,,,,,,Iberoamerican Meeting on Ontological Research,2
1967,2016,,,,,,,IBERSENSOR 2016,2
1968,2008,,,,,,,ICEIS 2008 - Proceedings of the Tenth International Conference on Enterprise Information Systems,2
1969,2014,,,,,,,ICIW 2014 : The Ninth International Conference on Internet and Web Applications and Services,2
1970,2010,,,,,,,ICMSIE 2010 Conference Proceedings,2
1971,2015,,,,,,,ICSEA 2015,2
1972,2016,,,,,,,ICSEA 2016,2
1973,2017,,,,,,,"ICSEA 2017, The Twelfth International Conference on Software Engineering Advances",2
1974,2020,,,,,,,ICST Transactions on Scalable Information Systems,1
1975,2000,,,,,,,IDEAS'2000 Proceedings,2
1976,2013,,,,,,,IECON 2013,2
1977,2013,,,,,,,IECON 2013,2
1978,2014,,,,,,,IECON'2014,2
1979,2014,,,,,,,IECON'2014,2
1980,2014,,,,,,,IECON'2014,2
1981,2014,,,,,,,IECON'2014,2
1982,2006,,,,,,,IEE Proceedings. Electric Power Applications,1
1983,2003,,,,,,,IEE Proceedings. Electric Power Applications,1
1984,2006,,,,,,,IEE Proceedings. Electric Power Applications (Cessou em 2006. Cont. ISSN 1751-8660 IET Electric Power Applications (Print)),1
1985,2013,,,,,,,IEEE 13th International Conference on Computer and Information Technology (CIT2013),2
1986,2005,,,,,,,IEEE 36th Annual Power Electronics Specialists Conference,2
1987,2005,,,,,,,IEEE 36th Annual Power Electronics Specialists Conference,2
1988,2019,,,,,,,IEEE Access,1
1989,2019,,,,,,,IEEE Access,1
1990,2002,,,,,,,IEEE Artificial Intelligence Systems,2
1991,2014,,,,,,,IEEE CBMS 2014,2
1992,2016,,,,,,,IEEE CBMS 2016,2
1993,2017,,,,,,,IEEE CBMS 2017,2
1994,2016,,,,,,,IEEE CIT 2016,2
1995,2016,,,,,,,IEEE Computer Society 2016,2
1996,2014,,,,,,,IEEE HEALTHCOM 2014,2
1997,2019,,,,,,,IEEE ICALT International conference on Advanced Learning Technologies and Technology-enhanced Learning,2
1998,2016,,,,,,,IEEE International Conference on Data Engineering,2
1999,2012,,,,,,,IEEE International Conference on Services Computing,2
2000,2013,,,,,,,IEEE International Conference on Services Computing,2
2001,2012,,,,,,,IEEE International Conference on Web Services,2
2002,2011,,,,,,,IEEE International Conference on Web Services (ICWS),2
2003,2007,,,,,,,IEEE International Symposium on Intelligent Signal Processing,2
2004,2014,,,,,,,IEEE ISCC 2014,2
2005,2018,,,,,,,IEEE Journal of Biomedical and Health Informatics,1
2006,2018,,,,,,,IEEE Latin America Transactions,1
2007,2019,,,,,,,IEEE Latin America Transactions,1
2008,1999,,,,,,,IEEE Press,2
2009,2020,,,,,,,IEEE SOFTWARE,1
2010,2018,,,,,,,IEEE TRANSACTIONS ON FUZZY SYSTEMS,1
2011,2016,,,,,,,IEEE TRANSACTIONS ON FUZZY SYSTEMS,1
2012,2009,,,,,,,IEEE Transactions on Instrumentation and Measurement,1
2013,2018,,,,,,,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,1
2014,2015,,,,,,,IEEE Transactions on Knowledge and Data Engineering (Print),1
2015,2009,,,,,,,IEEE-CS Technical Committee on Digital Libraries,2
2016,2015,,,,,,,IEEE/WIC/ACM Intelligent Agent Technology Conference (WI-IAT),2
2017,2018,,,,,,,IEEE/WIC/ACM International Conference on Web Intelligence,2
2018,2018,,,,,,,IEEE/WIC/ACM International Conference on Web Intelligence,2
2019,2019,,,,,,,IEEE/WIC/ACM International Conference on Web Intelligence on  - WI &amp;apos;19,2
2020,2008,,,,,,,"IET Generation, Transmission &amp; Distribution (Print)",1
2021,2016,,,,,,,IET Renewable Power Generation,1
2022,2017,,,,,,,IET RENEWABLE POWER GENERATION (ONLINE),1
2023,2012,,,,,,,II CICPG,2
2024,2012,,,,,,,II CICPG,2
2025,2005,,,,,,,II Congresso Brasileiro de Oceanografia,2
2026,2019,,,,,,,II Congresso de Tecnologia da Informação do IFSUL Passo Fundo,2
2027,2006,,,,,,,II Escola Regional de Banco de Dados,2
2028,2006,,,,,,,II Escola Regional de Banco de Dados,2
2029,2006,,,,,,,II Escola Regional de Banco de Dados,2
2030,2006,,,,,,,II Escola Regional de Banco de Dados,2
2031,2006,,,,,,,II Escola Regional de Banco de Dados (ERBD),2
2032,2006,,,,,,,II Escola Regional de Bancos de Dados - ERBD 2006,2
2033,2001,,,,,,,II Salão de Iniciação Científica - PUCRS CD Rom - Resumos,2
2034,1990,,,,,,,II Salão de Iniciação Científica da UFRGS,2
2035,2001,,,,,,,II Salão de Iniciação Científica PUCRS - CD Rom - Resumos,2
2036,2001,,,,,,,II Salão de Iniciação Científica PUCRS - CD Rom - Resumos,2
2037,2001,,,,,,,II Salão de Iniciação Científica PUCRS - CD Rom/ Resumos,2
