id,autor_id,artigo_id,ordem
686,139,2490,
687,258,1291,
688,139,2765,
689,139,3574,
690,190,1693,
691,321,3403,
692,321,1212,
693,321,426,
694,89,1815,
695,417,2829,
696,417,3025,
697,190,1916,
698,50,410,
699,119,2005,
700,321,378,
701,321,380,
702,384,3051,
703,107,3539,
704,119,1795,
705,107,3837,
706,384,3630,
707,53,1565,
708,89,2734,
709,258,3400,
710,428,994,
711,321,868,
712,419,3169,
713,28,3659,
714,119,2245,
715,139,1131,
716,139,3701,
717,376,1334,
718,384,3050,
719,419,322,
720,83,289,
721,21,3472,
722,321,1037,
723,115,3858,
724,107,2877,
725,64,3933,
726,107,2184,
727,296,2912,
728,43,2961,
729,43,2657,
730,107,2725,
731,28,968,
732,384,3925,
733,119,1097,
734,225,2488,
735,135,2371,
736,190,3212,
737,40,923,
738,129,749,
739,50,795,
740,376,2831,
741,321,2815,
742,56,1280,
743,56,1300,
744,50,1023,
745,229,2622,
746,119,1792,
747,43,2859,
748,119,1797,
749,259,3621,
750,89,2844,
751,376,2022,
752,258,2247,
753,118,2662,
754,258,2248,
755,83,317,
756,21,1172,
757,428,555,
758,258,1599,
759,258,1601,
760,321,479,
761,321,480,
762,321,676,
763,321,887,
764,321,891,
765,321,861,
766,321,865,
767,321,1929,
768,321,1947,
769,321,363,
770,321,366,
771,281,3571,
772,89,3376,
773,376,3110,
774,89,3854,
775,50,3759,
776,139,299,
777,158,1994,
778,321,565,
779,321,580,
780,315,3154,
781,56,1275,
782,56,1282,
783,55,807,
784,118,3218,
785,321,875,
786,321,884,
787,54,404,
788,54,349,
789,54,348,
790,54,353,
791,107,1228,
792,139,1767,
793,376,3732,
794,321,1934,
795,89,2556,
796,89,3658,
797,43,2962,
798,424,1761,
799,50,2946,
800,321,3497,
801,119,1289,
802,123,1136,
803,43,2033,
804,107,3972,
805,54,1107,
806,50,1110,
807,282,3301,
808,50,450,
809,83,2567,
810,107,3839,
811,83,3878,
812,228,2989,
813,384,3870,
814,50,3758,
815,50,3201,
816,89,3276,
817,89,2840,
818,89,3006,
819,89,2736,
820,89,3005,
821,83,1409,
822,40,2030,
823,119,1590,
824,119,1591,
825,107,2996,
826,43,3770,
827,376,2349,
828,107,3838,
829,139,1768,
830,376,1468,
831,43,2571,
832,43,3771,
833,376,1653,
834,107,3267,
835,89,3952,
836,119,3077,
837,119,2589,
838,376,3444,
839,258,3612,
840,321,422,
841,321,427,
842,321,421,
843,321,760,
844,321,493,
845,321,504,
846,54,3423,
847,28,3028,
848,139,2494,
849,107,3149,
850,139,2268,
851,107,3410,
852,107,3268,
853,229,3371,
854,229,2921,
855,28,390,
856,89,2740,
857,158,1257,
858,376,1810,
859,376,3431,
860,376,3648,
861,139,3700,
862,422,2486,
863,59,837,
864,119,941,
865,50,2104,
866,123,3679,
867,376,3726,
868,321,2169,
869,28,3855,
870,64,3544,
871,135,1893,
872,419,2901,
873,50,411,
874,50,1347,
875,321,1501,
876,83,3595,
877,237,2385,
878,242,2498,
879,83,2524,
880,43,1621,
881,43,1350,
882,89,3018,
883,123,1841,
884,50,1679,
885,189,1642,
886,321,673,
887,321,680,
888,321,886,
889,321,889,
890,259,3921,
891,258,3359,
892,123,1640,
893,83,304,
894,58,1125,
895,428,554,
896,384,3964,
897,384,3959,
898,43,1911,
899,40,924,
900,225,1988,
901,225,2042,
902,225,3572,
903,107,1384,
904,107,1834,
905,212,3420,
906,376,3904,
907,43,2655,
908,258,3898,
909,89,3653,
910,384,3052,
911,119,1630,
912,376,3445,
913,376,3179,
914,258,1596,
915,28,3916,
916,315,2468,
917,107,1227,
918,83,3670,
