FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v4iss2p125,Análise da situação ambiental das Áreas de Preservação Permanente no município de São José dos Ausentes - RS,2016,Português,Scientia cum Industria,SEM_DADOS,SEM_DADOS,"['ELISABETE SCHNEIDER, VANIA and', 'BREZOLIN MAGRIN, TATIANA and', 'CEMIN, Gisele and', 'MACEDO DOS SANTOS, GEISE and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.2495/SDP-V10-N6-781-794,Use of water quality index as a tool for urban water resources management,2015,Inglês,International Journal of Sustainable Development and Planning: encouraging the unified approach to achieve sustainability,SEM_DADOS,SEM_DADOS,"['FINOTTI, A.R. and', 'FINKLER, R. and', 'SUSIN, N. and', 'SCHNEIDER, V.E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v4iss2p103,Critérios De Usabilidade Em Processo De Migração De Biblioteca Gráfica Em Um Sistema De Informações Ambientais,2016,Português,Scientia cum Industria,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, VANIA and', 'SPIANDORELLO, ROBERTO and', 'GIORDANI, MIGUEL and', 'HOFFMANN, GUILHERME and', 'GRACIOLLI, ODACIR and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,"Análise da influência turística sobre o comportamento dos peixes no rio Olho D?água, Jardim, Mato Grosso do Sul",2017,Português,REVISTA BRASILEIRA DE ECOTURISMO,SEM_DADOS,SEM_DADOS,"['Bilha, A. A. and', 'SCHNEIDER, V. E. and', 'ESTERQUILE JUNIOR, O. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.1088/1755-1315/78/1/012011,Evaluation of the Efficiency of Selective Collection in a Small Town on the State of Rio Grande do Sul - Brazil,2017,Português,IOP Conference Series: Earth and Environmental Science,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V E and', 'POLETTO, M and', 'PERESIN, D and', 'CARRA, S H Z and', 'VANNI, D and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,A utilização do método de Aprendizagem Baseada em Problemas para conhecer e desenvolver hábitos de consumo consciente da energia elétrica no Ensino Fundamental,2017,Português,Revista Interdisciplinar de Ciência Aplicada,SEM_DADOS,SEM_DADOS,"['LEITE, F. F. and', 'CUNHA, G. F. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Evaluation of metal bioavailability in the Tega River watershed sediments in Southern Brazil,2017,Português,Journal of Environment and Biotechnology Research,SEM_DADOS,SEM_DADOS,"['SCHMITZ, M. and', 'GIOVANELA, M. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v5iss1p10,Boas práticas em gestão ambiental de Instituições de Ensino Superior: o caso da Universidade de Turku de Ciências Aplicadas,2017,Português,SCIENTIA CUM INDUSTRIA,SEM_DADOS,SEM_DADOS,"['MARINA TONET MOTTA, ELIS and', 'ELISABETE SCHNEIDER, VANIA and', 'RODRIGUES GIMENEZ, JULIANO and', 'KAIRISTO-MERTANEN, LIISA and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.2495/ei-v1-n3-298-311,Water quality monitoring in urban basins as support for water resources management: A case study from southern brazil,2018,Inglês,"International Journal of Environmental Impacts: Management, Mitigation and Recovery",SEM_DADOS,SEM_DADOS,"['FINKLER, N. R. and', 'COCCONI, J. and', 'Taison A. Bortolin and', 'MENDES, L. A. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,José Carlos Köche: uma vida com a UCS,2017,Português,Revista Interdisciplinar de Ciência Aplicada,SEM_DADOS,SEM_DADOS,"['SANTIN, M. A. and', 'SCHNEIDER, V. E. and', 'CUNHA, G. F. and']"
