ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO,
6771642666904396,Conselho Estadual de Educação,2008,,Avaliador de Curso,
6771642666904396,Fundação Educacional do Município de Assis,1994,,Analista de Sistema,
149028226656519,Universidade Federal de Santa Catarina,2003,2015,Pesquisador,
149028226656519,Universidade Federal de Santa Catarina,2015,,Professor Adjunto,
149028226656519,Faculdade de Ciencias Administrativas e Tecnologicas - FATec,1999,1999,Administrador de Redes Junior,
149028226656519,Empresa Brasileira de Correios e Telégrafos - Porto Velho,2001,2002,Analista de Redes,
149028226656519,Secretaria de Saúde do Estado de Rondônia,2001,2002,Analista de Redes,
149028226656519,Fundação Rio Madeira,2003,2004,Pesquisador,
149028226656519,Faculdade de Tecnologia SENAI,2006,2014,Professor,
149028226656519,The University of Western Ontario,2010,2011,Part-time Visiting Graduate Student,
149028226656519,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,2011,2011,Membro de Comissão,
149028226656519,Journal of Digital Imaging,2013,,,
149028226656519,Universidade Federal de Sergipe,2014,2015,Professor Adjunto-A,
149028226656519,Universidade Federal de Sergipe,2015,2018,Professor Visitante,
149028226656519,International Journal of High Performance Systems Architecture (Print),2014,,,
149028226656519,International Journal of High Performance Computing and Networking (Print),2014,,,
149028226656519,Fundação de Apoio à Pesquisa e à Inovação Tecnológica do Estado de Sergipe,2014,,Membro de Comitê Assessor,
149028226656519,Fundação de Apoio à Pesquisa e à Inovação Tecnológica do Estado de Sergipe,2014,,,
149028226656519,Instituto Federal de Santa Catarina,2015,2015,Professor,
149028226656519,Revista IEEE América Latina,2015,,,
149028226656519,"Ministério da Ciência, Tecnologia e Inovação",2015,2015,,
149028226656519,"Ministério da Ciência, Tecnologia e Inovação",2015,,,
149028226656519,International Journal of Grid and Utility Computing,2015,,,
149028226656519,Em Questão (UFRGS. Impresso),2016,,,
149028226656519,COMPLEXITY,2017,,,
149028226656519,International Journal of Computational Science and Engineering,2016,,,
149028226656519,Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina,2017,,,
149028226656519,IEEE IT Professional,2017,,,
149028226656519,International Journal of Big Data Intelligence,2017,,,
149028226656519,International Journal of Grid and Utility Computing (IJGUC),2017,,,
149028226656519,IEEE Access,2017,,,
149028226656519,REVISTA DE INFORMÁTICA TEÓRICA E APLICADA: RITA,2017,,,
149028226656519,EM QUESTÃO,2017,,,
149028226656519,Encontros Bibli,2018,,,
149028226656519,INFORMAÇÃO &amp, TECNOLOGIA (ITEC),2018,,
149028226656519,COMPUTERS &amp, ELECTRICAL ENGINEERING,2018,,
149028226656519,WIRELESS COMMUNICATIONS AND MOBILE COMPUTING,2018,,,
149028226656519,"ACM Transactions on Multimedia Computing, Communications, and Applications",2020,,,
149028226656519,COMPUTERS IN BIOLOGY AND MEDICINE,2020,,,
149028226656519,Financiadora de Estudos e Projetos,2020,,,
149028226656519,Information Systems (Elsevier),2020,,,
149028226656519,MOBILE NETWORKS AND APPLICATIONS,2020,,,
5360960592754214,Datum T I,2001,2001,Programador,
5360960592754214,Datum T I,2002,2002,Projetista,
3322255992735977,Pontifícia Universidade Católica do Rio Grande do Sul - Uruguaiana,2006,2007,Estagiário,
3322255992735977,Hewlett Packard,2010,2010,Pesquisador,
3322255992735977,Pontifícia Universidade Católica do Rio Grande do Sul,2010,2012,Pesquisador,
3322255992735977,Pontifícia Universidade Católica do Rio Grande do Sul,2012,2014,Desenvolvedor de Sistemas,
3322255992735977,Centre de Recherche INRIA Grenoble - Rhône-Alpes,2014,2015,Pesquisador,
3322255992735977,Serviço Nacional de Aprendizagem Comercial - RS,2016,2016,Professor temporario,
